codigoUnidade,nomeUnidade,siglaUnidade,diretoria,siglaDiretoria
11,Coordenação-Geral de Educação a Distância,,Diretoria de Educação Continuada,DEC
12,Coordenação-Geral de Educação Executiva,,Diretoria de Educação Continuada,DEC
22,Diretoria de Educação Continuada,,Diretoria de Educação Continuada,DEC
9,Coordenação-Geral de Capacitação de Altos Executivos,,Diretoria de Formação Profissional e Especialização,DFPE
13,Coordenação-Geral de Especialização,,Diretoria de Formação Profissional e Especialização,DFPE
14,Coordenação-Geral de Formação,,Diretoria de Formação Profissional e Especialização,DFPE
23,Diretoria de Formação Profissional e Especialização,,Diretoria de Formação Profissional e Especialização,DFPE
15,Coordenação-Geral de Gestão de Pessoas e Adm,,Diretoria de Gestão Interna,DGI
18,"Coordenação-Geral de Orçamento, Finanças e Contabilidade",,Diretoria de Gestão Interna,DGI
21,Coordenação-Geral de Tecnologia da Informação,,Diretoria de Gestão Interna,DGI
24,Diretoria de Gestão Interna,,Diretoria de Gestão Interna,DGI
8,Coordenação-Geral de Articulação Institucional,,Diretoria de Inovação e Gestão do Conhecimento,Inova
16,Coordenação-Geral de Gestão do Conhecimento,,Diretoria de Inovação e Gestão do Conhecimento,Inova
17,Coordenação-Geral de Inovação,,Diretoria de Inovação e Gestão do Conhecimento,Inova
25,Diretoria de Inovação e Gestão do Conhecimento,,Diretoria de Inovação e Gestão do Conhecimento,Inova
10,Coordenação-Geral de Ciência de Dados,,Diretoria de Pesquisa e Pós,DPPG
19,Coordenação-Geral de Pesquisa,,Diretoria de Pesquisa e Pós,DPPG
20,Coordenação-Geral de Pós Graduação Stricto Sensu,,Diretoria de Pesquisa e Pós,DPPG
26,Diretoria de Pesquisa e Pós,,Diretoria de Pesquisa e Pós,DPPG
1,Assessoria de Comunicação,,Gabinete,Gabinete
2,Assessoria Internacional,,Gabinete,Gabinete
3,Auditoria Interna,,Gabinete,Gabinete
4,Comissão De Ética,,Gabinete,Gabinete
5,Comissão Gestora do Plano de Gestão de Logística Sustentável,,Gabinete,Gabinete
6,Comitê de Gênero,,Gabinete,Gabinete
7,Comitê de Inclusão,,Gabinete,Gabinete
27,Gabinete,,Gabinete,Gabinete
28,Procuradoria Federal,,Gabinete,Gabinete
